Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Verzicht auf Hochrisiko-Immobiliengeschäfte,Postulat,dcec673758c041d89e24150dfc55939f,2023-03-22T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,InBearbeitung,,
"Unbewilligte Demonstrationen, Einkesselung und Auflösung mit Zwangsmassnahmen",Postulat,313387f978d3404a80ac1821cefae16e,2023-03-22T00:00:00.000,Samuel Balsiger,SVP,Michele Romagnolo,SVP,InBearbeitung,,
Festsetzung der ordentlichen Gemeindesteuern auf 117 Prozent für das Budget 2024,Postulat,6a6bf5d2c082432b92c2f1bcf5650ec3,2023-03-22T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,Abgeschlossen,Rückzug,Rückzug
Nichtbudgetierung von nicht besetzten Stellen im Folgejahr,Postulat,e8319074f5a047deacdb562ad7252587,2023-03-22T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,InBearbeitung,,
Festsetzung der ordentlichen Gemeindesteuern auf 112 Prozent für das Budget 2024,Postulat,dd5a8af9b7d247548195fe0922d9b86d,2023-03-22T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,Abgeschlossen,Rückzug,Rückzug
Verbesserung der Parkplatzsituation in Schwamendingen für Personen mit eingeschränkter Mobilität und Schaffung von Kurzzeitparkplätzen für die Allgemeinheit,Postulat,aa8f5d442d2d4a9db4d9212fd1cd9d63,2023-03-22T00:00:00.000,Frank Rühli,FDP,Michele Romagnolo,SVP,InBearbeitung,Ablehnung,Ablehnung
Verzicht auf den Weiterzug des Entscheids des Baurekursgerichts zur Abdeckung der «Mohren-Inschriften» sowie Kontextualisierung der Inschriften,Postulat,991090b76a8c4a80843b8213894c94e5,2023-03-29T00:00:00.000,Stefan Urech,SVP,Yasmine Bourgeois,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Droge Crack, Verhinderung der Ausbreitung durch Massnahmen in der Sozialarbeit, Prävention und Polizeiarbeit",Postulat,f5e92f820c1f4465af410f2aed98f8a7,2023-03-29T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Bekämpfung linksextremer Gewalt in Zusammenarbeit mit allen Sicherheitsbehörden als Legislaturschwerpunkt,Postulat,227d77c9205844c5a77ba71a61441fc2,2023-04-05T00:00:00.000,Samuel Balsiger,SVP,Stephan Iten,SVP,InBearbeitung,,
Strategie zur Stärkung der natürlichen Autorität von an städtischen Schulen angestellten Personen hinsichtlich der Eindämmung von eskalierender Jugendgewalt,Postulat,b1a882b5bcc548e5aa3ce39019b27152,2023-04-05T00:00:00.000,Michele Romagnolo,SVP,Sebastian Zopfi,SVP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Verhinderung von gewalttätigen Ausschreitungen bei der Räumung des besetzten Hardturm-Areals,Postulat,6f131460edc2455d92130a8f9a49e837,2023-04-05T00:00:00.000,Johann Widmer,SVP,Samuel Balsiger,SVP,InBearbeitung,,
"Personalmangel bei den Notfallorganisationen, Unterstützung der Mitarbeitenden zur Vermeidung vorzeitige Altersrücktritte",Postulat,4d7daee8233842faadcbf538cb30e44f,2023-04-12T00:00:00.000,Michele Romagnolo,SVP,Reto Brüesch,SVP,InBearbeitung,,
"Illegale Sprayereien und Tags, Strategie und Massnahmen der Stadt, Thematisierung bei der Fan- und Jugendarbeit, vermehrte Polizeipatrouillen, Ausgaben für die Entfernung der Sprayereien und Schätzung des jährlichen Schadens sowie Anzahl Verzeigungen",Schriftliche Anfrage,443cda2df4e844d19d0c90563a9dcf2e,2023-04-19T00:00:00.000,Martina Zürcher,FDP,Johann Widmer,SVP,Abgeschlossen,,
Beschränkung des Stellenwachstums der Stadt ab 2024 auf das prognostizierte Bevölkerungswachstum,Postulat,03afc90790124843bab76ee68a4a53d0,2023-04-19T00:00:00.000,Serap Kahriman,GLP,Martin Götzl,SVP,Abgeschlossen,Ablehnung,Ablehnung
Beschränkung des Anstiegs der Lohnkosten der Stadt ab 2024 auf das Bevölkerungswachstum,Postulat,d4d76a34d7e54405aaeb04f72ac7fd56,2023-04-19T00:00:00.000,Martin Götzl,SVP,Isabel Garcia,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Erhalt der Tennisinfrastruktur beim Neubau des Sportzentrums Oerlikon, Gründe für die Streichung der Tennisplätze am Riedgraben, Möglichkeiten für einen Erhalt der Plätze und Optionen für eine Bereitstellung an einem alternativen Standort sowie Strategie für wintertaugliche Tennisanlagen",Schriftliche Anfrage,3e6dc240c5544349a2c2cac28b683232,2023-05-24T00:00:00.000,Martin Götzl,SVP,Patrick Tscherrig,SP,Abgeschlossen,,
Streichung der Verwendung des Gendersterns aus dem Reglement über die sprachliche Gleichstellung (AS 151.120),Postulat,aa63a61eea2448aa8a6560f02520fda7,2023-05-24T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,InBearbeitung,,
"Frauenförderung und Sprachgebrauch, Bevorzugung von Frauen bei der Anstellung und Gründe für die Förderung einer gendergerechten Sprache vor dem Hintergrund der publizierten Umfrageergebnisse im Tages-Anzeiger sowie Haltung zur Diskriminierung der Frauen durch die Verwendung der gendergerechten Sprache",Interpellation,d35c1a4d619c4278b282df477ff8b720,2023-05-31T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,InBearbeitung,,
Entfernung des Velostreifens auf der Badenerstrasse als flankierende Massnahme zur erstellten Vorzugsroute,Postulat,3da57a97b062401ba5b1770557fc2a04,2023-06-14T00:00:00.000,Reto Brüesch,SVP,Derek Richter,SVP,InBearbeitung,,
"Anbringung von Werbebannern zum feministischen Streik beim Schulhaus Altstetterstrasse, Einschätzung der Aktion vor dem Hintergrund der Bestimmungen der Kantonsverfassung betreffend die politisch neutralen öffentlichen Schulen und des Personalrechts, mögliche Konsequenzen der Aktion und Massnahmen zur Einhaltung der Verfassungsbestimmung",Interpellation,f2cba121a4e84db0b8279bc309a0ee53,2023-06-14T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,InBearbeitung,,
Einhaltung des Steuerrechts und weiterer rechtlicher Vorgaben bei der kommerziellen Nutzung besetzter Gebäude,Postulat,e57a01b16da8476e9b25b0fbaf8070f2,2023-06-28T00:00:00.000,Samuel Balsiger,SVP,Johann Widmer,SVP,InBearbeitung,,
Übertragung von 500 altersgerechten und bezahlbaren städtischen Wohnungen an die Stiftung Alterswohnungen der Stadt Zürich (SAW),Motion,6624820a060b47b28be1212d461576d4,2023-06-28T00:00:00.000,Reto Brüesch,SVP,Jean-Marc Jung,SVP,InBearbeitung,,
"Projekt zum Neubau des Sportzentrums Oerlikon, Erhalt der Tennisplätze",Postulat,2c412ad77cea4748bf19df9b41069d7f,2023-06-28T00:00:00.000,Martin Götzl,SVP,Roger Bartholdi,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Abschaffung des internen Merkblatts zu den Hausbesetzungen hinsichtlich der sofortigen Räumung besetzter Gebäude,Postulat,3e3d4754dc9b4141b85940b15be90c65,2023-06-28T00:00:00.000,Johann Widmer,SVP,Derek Richter,SVP,InBearbeitung,,
"Marktplatz Oerlikon, Wiederherstellung und Gewährleistung der öffentlichen Ordnung und der Rechtmässigkeit",Postulat,39b630a493f844f59cca245558748e0f,2023-07-05T00:00:00.000,Martin Götzl,SVP,Stephan Iten,SVP,InBearbeitung,,
"Erhebung der Hundesteuer, Entwicklung der Zahl registrierter Hunde, Anzahl Hundekotbehälter, finanzieller Aufwand für deren Unterhalt und Ertrag der Hundesteuer sowie Angaben zur Kostendeckung und einer möglichen Senkung der Steuer",Schriftliche Anfrage,71c037c479464ae7a7dd9f36a833f2bf,2023-07-05T00:00:00.000,Martin Götzl,SVP,Roger Bartholdi,SVP,Abgeschlossen,,
"Personalnot bei der Stadtpolizei, Angaben zur Lohnsituation im Vergleich zu weiteren Polizeikorps und Prämien für Risikoeinsätze sowie mögliche Anhebung des Anfangsbruttolohns",Schriftliche Anfrage,6b97087573d546b5b0d9fd2383cf10e9,2023-07-12T00:00:00.000,Samuel Balsiger,SVP,Derek Richter,SVP,Abgeschlossen,,
Frühzeitige Information der Bevölkerung über die vorgesehenen Standorte für Asylzentren der Asyl-Organisation Zürich (AOZ),Postulat,e0eba1322bd3460eb5804664240bd3b2,2023-08-23T00:00:00.000,Martin Götzl,SVP,Michele Romagnolo,SVP,InBearbeitung,,
"Crack-Problematik in der Stadt, ergriffene Massnahmen gegen die Ausbreitung, Verhinderung des Kontakts der Schulkinder um die Bäckeranlage mit der Droge, mögliche Einzäunung oder nächtliche Kontrolle der Bäckeranlage und Verhinderung einer Ausweichung der Szene in andere Quartiere",Schriftliche Anfrage,d271d8249cac43bc8a1c8fa6a12119b2,2023-08-23T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,Abgeschlossen,,
"Unterbringung von Asylsuchenden in der Stadt, Zahlen und Hintergründe zum städtischen Kontingent und zu den Betreuungsplätzen, Verteilung auf die Stadtkreise, Strategie zu den geplanten Betreuungsplätzen und Information der Quartierbevölkerung sowie konkrete Nutzung von Liegenschaften und Anlagen durch die Asyl-Organisation Zürich (AOZ) und die Stadt",Schriftliche Anfrage,0656382e2b794fa190b50c8bec9e8c4e,2023-08-30T00:00:00.000,Martin Götzl,SVP,Jean-Marc Jung,SVP,InBearbeitung,,
Auflösung der offenen Drogenszene in der Bäckeranlage,Postulat,e55a4eed24124344817a9deeb1b74be1,2023-08-30T00:00:00.000,Michele Romagnolo,SVP,Samuel Balsiger,SVP,Abgeschlossen,Ablehnung,Ablehnung
"Verstellen von Parkplätzen in der blauen Zone an der Brahmstrasse im Rahmen einer Aktion des Vereins umverkehR, Hintergründe zur Bewilligung der Aktion, Wertung als Veranstaltung, Information der Öffentlichkeit und erhobene Gebühren sowie künftige Bewilligungspraxis für solche Aktionen",Interpellation,e4833a52444f43a685713fb8498828bb,2023-09-20T00:00:00.000,Derek Richter,SVP,Stephan Iten,SVP,InBearbeitung,,
"Warteliste der Stiftung Alterswohnungen der Stadt Zürich (SAW), Angaben zur Länge der Warteliste und zur Information der Interessierten über freiwerdende Wohnungen, Zeitplan für die Aufhebung der Liste sowie Information der Bevölkerung über die Einführung des elektronischen Bewerbungsprozesses",Schriftliche Anfrage,19bc4fc68956466b957bd17928a9ae53,2023-09-20T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,Abgeschlossen,,
"Stiftung Alterswohnungen der Stadt Zürich (SAW), Verzicht auf den elektronischen Bewerbungsprozess für Alterswohnungen",Postulat,34edb617af2647be91142bb573da2c0c,2023-09-20T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,InBearbeitung,,
Dauerhafte Nutzung des Gesundheitszentrums für das Alter Oberstrass für Alterswohnungen,Postulat,e53e84ea75dd43a5bb7832d3f9a248f7,2023-09-20T00:00:00.000,Samuel Balsiger,SVP,Walter Anken,SVP,InBearbeitung,,
