Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Umsetzung von verkehrsberuhigenden Massnahmen im Letzigraben und den angrenzenden Quartierstrassen sowie Förderung des nichtmotorisierten Verkehrs,Postulat,aa5ec06669cd4bf480ceb8a9f8998f6d,2020-11-04T00:00:00.000,Pascal Lamprecht,SP,Natalie Eberle,AL,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
Rollstuhlgängige Umgestaltung des Bahnhofs Brunau,Postulat,380233dea88d47fabbd945733fd549fb,2020-11-11T00:00:00.000,Pawel Silberring,SP,Gabriele Kisker,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Weiterführung der Kunststoff-Sammlung in Höngg und Schwamendingen,Postulat,d833dc29ce8a4f1b9e43abc11cad3ba9,2020-11-18T00:00:00.000,Florian Utz,SP,Selina Walgis,Grüne,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Überarbeitung des städtischen Personalrechts hinsichtlich der Verwendung einer Terminologie, die der Vielfalt der Geschlechter und Beziehungsformen vollumfänglich gerecht wird",Postulat,f0b4593c4a7b4472a2448e314bebb49f,2020-11-18T00:00:00.000,Anjushka Früh,SP,Vera Ziswiler,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Ökologisch sinnvolle Umrüstung der Trolleybusse auf Akku-Betrieb und Schnelllader,Postulat,2d8d76b413b94808a493ab51b769ed08,2020-11-18T00:00:00.000,Urs Helfenstein,SP,Sven Sobernheim,GLP,Abgeschlossen,Ablehnung,Ablehnung
Ausrichtung der Öffnungszeiten für das Drogen-Checking auf die städtischen «Ausgangs-Rush-Hours»,Postulat,9804973e53ed42e689b8b081063e82ec,2020-11-25T00:00:00.000,Marcel Müller,FDP,Marco Geissbühler,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Nutzungsstrategie für das Schlachthof-Areal, mögliche Nutzungen auf der Grundlage der aktuellen Zonierung, Spielraum für die Umnutzung der inventarisierten Gebäude, aktueller Projektstand und Aufnahme der Anliegen aus dem partizipatorischen Verfahren sowie Erwartungen betreffend Entwicklung der Fleischwirtschaft und Beurteilung der damit verbundenen Standortfrage",Schriftliche Anfrage,3e91e638e0d744b480f64210c9b3e3df,2020-11-25T00:00:00.000,Mathias Manz,SP,Brigitte Fürer,Grüne,Abgeschlossen,,
Neuorganisierung des Verkehrs zwischen Bellevue und Bürkliplatz beim nächsten Unterhaltszyklus,Postulat,46b5dadefbbd4c9d8113eb433f1b3982,2020-12-02T00:00:00.000,Martin Bürki,FDP,Urs Helfenstein,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Förderung der Bewegung im öffentlichen Raum mit dezentralen, niederschwelligen und kostenlosen urbanen Bewegungsräumen und dazugehöriger Infrastruktur",Postulat,5037372638e3484fa6f763ce0bb849db,2020-12-02T00:00:00.000,Sarah Breitenstein,SP,Anjushka Früh,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Quarantäneregelungen für die Mitarbeitenden der städtischen Gesundheitsorganisationen, Anweisung und Handhabung bei Fällen von angeordneter Quarantäne betreffend Bezug von Ferien und Arbeitszeitguthaben, Homeoffice und Zeitautonomie sowie Beurteilung dieser Anreize hinsichtlich der Bereitschaft, sich testen zu lassen",Schriftliche Anfrage,00f844ad591a4ae2876a2b809eaf6067,2020-12-02T00:00:00.000,Natascha Wey,SP,Marcel Bührig,Grüne,Abgeschlossen,,
"Nahwärmeverbund im Gebiet Zürich Altstetten, Hintergründe zur Vergabe eines Teilgebiets an die Energie 360° AG, Beurteilung der Rechtsgrundlagen für die Wärmeversorgung durch Energie 360° AG und das ewz und Gründe für den Verzicht auf eine Ausschreibung des Teilgebiets sowie Haltung zur Gasversorgung aus klima- und energiepolitischer Sicht",Schriftliche Anfrage,569365f2a34244e486ae35d6083ad5b5,2020-12-02T00:00:00.000,Markus Kunz,Grüne,Michael Kraft,SP,Abgeschlossen,,
"Zwielichtige Anbieter im Bereich des Finanzsektors, Angaben zu den Anzeigen und den Ermittlungen in diesem Bereich, Möglichkeiten zum Schutz der Bevölkerung, Betroffene mit Bedarf an staatlicher Unterstützung und Beurteilung der Einrichtung einer kommunalen Anlaufstelle",Schriftliche Anfrage,9f529b84ee584b628a64c85c2a04bfd9,2020-12-02T00:00:00.000,Matthias Renggli,SP,Severin Meier,SP,Abgeschlossen,,
Schaffung einer Rechtsgrundlage zur Sicherstellung der Finanzierung des Wohnens mit Betreuung in institutionsnahen Einrichtungen oder zuhause für AHV-Rentner und -Rentnerinnen mit Zusatzleistungen,Motion,6ee31e6d0fdf40f5968c2dec04315d0e,2020-12-02T00:00:00.000,Marion Schmid,SP,Sofia Karakostas,SP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Sammelkredit für die Unterstützung von lokalen Zürcher Netzwerken und Akteur-Plattformen, die im Bereich «Nachhaltigkeit, nachhaltiger Konsum und nachhaltige Ernährung» aktiv sind",Postulat,d582939d4be2457382f632266ed59533,2020-12-02T00:00:00.000,Nicole Giger,SP,Helen Glaser,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Einführung einer Parkleit-App, die in eine Verkehrsmittel-übergreifende Mobilitäts-App integriert ist",Postulat,f973f786119b494b87bb850c6a786ff2,2020-12-02T00:00:00.000,Pascal Lamprecht,SP,Stephan Iten,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Aktualisierung des regionalen Richtplans betreffend Klimaschutz und Netto-Null-Ziel,Motion,5c350887983849a2b7f92630f6feca02,2020-12-02T00:00:00.000,Simone Brander,SP,Pascal Lamprecht,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Einbezug der Sozialpartner im Detailhandel in das Bewilligungsverfahren für Sonntagsverkäufe,Postulat,e175c8b34f4d4b1cac79568f7f0a9aa0,2020-12-02T00:00:00.000,Marco Geissbühler,SP,Pascal Lamprecht,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Bericht betreffend Strategie für eine effiziente und kundenfreundliche City-Logistik,Postulat,a6ce568b24a7498eabfa185e30f9cd33,2020-12-02T00:00:00.000,Pascal Lamprecht,SP,Dominique Zygmont,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Darlehen an den Verein «Traglufthallen Frauental»,Postulat,76de5f1c25e3403baf61182318453855,2020-12-02T00:00:00.000,Urs Helfenstein,SP,Yasmine Bourgeois,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Pilotprojekte zur lärmdämmenden Gestaltung des öffentlichen Raums in Bezug auf das Nachtleben,Postulat,8a1ca97bd8c04740865e1c4d7dbac2ab,2020-12-09T00:00:00.000,Alan David Sangines,SP,Martin Bürki,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Koordination der laufenden Planungen rund um das Quartierzentrum Nordbrücke unter Einbezug des Quartiers,Postulat,ae9bb6acf2e540edbb50bcd9895da683,2020-12-09T00:00:00.000,Simone Brander,SP,Simon Diggelmann,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Grossbaustelle Hochschulgebiet Zürich Zentrum (HGZZ), Mobilitätskonzept für einen reibungslosen Verkehrsfluss aller Verkehrsteilnehmenden und zum Schutz der Anwohnenden vor Schleichverkehr und Emissionen",Postulat,43ba8c3318f54919ac20abd7c0c5f737,2021-01-06T00:00:00.000,Cathrine Pauli,FDP,Sofia Karakostas,SP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Umgestaltung der Mauer hinter der Bushaltestelle Bahnhof Wipkingen zur besseren Anbindung des Platzes nördlich der Nordbrücke an das Quartierzentrum,Postulat,de96932392ff4a5aac7ab23aa506d2a3,2021-01-06T00:00:00.000,Simone Brander,SP,Stephan Iten,SVP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Einführung eines Nachtfahrverbots für Motorfahrzeuge innerhalb des Perimeters Langstrasse, Limmatstrasse, Radgasse und SBB-Gleisfeld",Postulat,8b6277bd66f84b6995e58d2ea8b7a031,2021-01-06T00:00:00.000,Maya Kägi Götz,SP,Markus Knauss,Grüne,Abgeschlossen,Rückzug,Rückzug
Auswertung der Handhabung und der Auswirkungen der Corona-Pandemie in den städtischen Alters- und Pflegezentren,Postulat,a673f4586d9a45879302e0853b812a8a,2021-01-06T00:00:00.000,Marion Schmid,SP,Marcel Savarioud,SP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"PHÄNOMENA 2023, mögliche Mitfinanzierung und Unterstützung der Ausstellung sowie Stellungnahme zum Standort Allmend und zu möglichen Alternativstandorten",Schriftliche Anfrage,a918ea5c5dc049aebbfc07523318b3c0,2021-01-06T00:00:00.000,Marco Denoth,SP,Severin Pflüger,FDP,Abgeschlossen,,
Schaffung zusätzlicher Räume mit erhöhter Aufenthaltsqualität am Limmatufer zwischen der Rathausbrücke und dem Drahtschmidlisteg,Postulat,9c195b5793454af39d6ae42e577e9c28,2021-01-13T00:00:00.000,Severin Meier,SP,Guy Krayenbühl,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Lehrstellensituation aufgrund der Corona-Pandemie, Situation für Schulabgängerinnen und Schulabgänger mit Lehrstart Sommer 2020, Tendenzen hinsichtlich des Lehrstarts 2021, Kapazitäten im Laufbahnzentrum, bei den Brückenangeboten und in den Coaching-Projekten sowie Massnahmen zur Unterstützung der Jugendlichen im Berufswahlprozess",Schriftliche Anfrage,1ddb4aa7996348489a912ba39d6e3be9,2021-01-13T00:00:00.000,Vera Ziswiler,SP,Michael Kraft,SP,Abgeschlossen,,
"Rohrleitungen am Sihlufer zwischen der Stauffacherbrücke und dem Hauptbahnhof, Zeitpunkt der Ausserbetriebnahme der Rohre und heutiger Verwendungszweck sowie weiteres Vorgehen betreffend Entfernung der Rohre",Schriftliche Anfrage,da9ae636aa9d45209ef3fb0e759a6c64,2021-01-13T00:00:00.000,Stefan Urech,SVP,Urs Helfenstein,SP,Abgeschlossen,,
"Betrieb der zwei städtischen Datacenter durch OIZ, Bilanz des Betriebs betreffend prognostiziertem und tatsächlich erreichtem PUE Wert (Power Usage Effectiveness), Kapazitäten in Fläche und Leistungsdichte, Aufhebung der dezentralen Standorte, Kosten und Kosten-Nutzen-Verhältnis des Eigenbetriebs sowie weitere Strategie für die beiden Standorte",Schriftliche Anfrage,5bcdaf1b829a41b593d58405aa08b485,2021-01-13T00:00:00.000,Sven Sobernheim,GLP,Barbara Wiesmann,SP,Abgeschlossen,,
"Koordination der Luftrettung durch die Einsatzzentrale Schutz & Rettung Zürich, Qualitätsstandard für die Berücksichtigung der Rettungsunternehmungen, Mengengerüste der Rettungseinsätze und Tagesparkplätze für Rettungshelikopter sowie Synergien und Kooperationen mit anderen Rettungsunternehmungen",Schriftliche Anfrage,1508280a262d4b2ab6168026ced15f26,2021-01-13T00:00:00.000,Pascal Lamprecht,SP,Joe A. Manser,SP,Abgeschlossen,,
