Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Elektrifizierung der Buslinien 69 und 80 im Rahmen des 3. Agglomerationsprogramms, Beurteilung einer durchgehenden Elektrifizierung sowie Prüfung möglicher Alternativen, wie Nachtladung, Zwischenladungen oder einer teilweisen Elektrifizierung im Haltestellenbereich mit den entsprechenden Kostenfolgen",Schriftliche Anfrage,9bf8984ef9264f7596f5c8322fb6a5a7,2016-05-11T00:00:00.000,Sven Sobernheim,GLP,Matthias Wiesmann,GLP,Abgeschlossen,,
Umsetzung einer departementsübergreifenden Smart-City-Strategie,Motion,1148f9a4100b4665befbfe4f356b903d,2016-05-18T00:00:00.000,Martin Luchsinger,GLP,Isabel Garcia,FDP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Prüfung und allfällige Auflösung der bestehenden Städtepartnerschaften,Postulat,a5697b26ee3d4699a250d178bd42b00e,2016-05-25T00:00:00.000,Adrian Gautschi,GLP,Guido Trevisan,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
Entwicklung und Bedeutung der Startup-Unternehmen in der Stadt sowie Beurteilung der gesetzlichen Rahmenbedingungen und Handlungsspielräume,Schriftliche Anfrage,536ea54fd10644eeba0073b169808617,2016-06-01T00:00:00.000,Isabel Garcia,FDP,Martin Luchsinger,GLP,Abgeschlossen,,
"Baubewilligungsverfahren im Perimeter des Gestaltungsplans Ueberlandpark, Integration von subventioniertem Wohnungsbau",Postulat,291d14aaec744302a23ed4af18b489d7,2016-06-08T00:00:00.000,Marco Denoth,SP,Ann-Catherine Nabholz,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Warenimport im Rahmen des städtischen Beschaffungswesens, Anteil des Imports bei den Beschaffungen und finanzielle Auswirkungen des sogenannten Schweiz-Zuschlags sowie mögliche Handlungsspielräume für eine Anpassung der gesetzlichen Rahmenbedingungen",Schriftliche Anfrage,7ead382f46204b10be49e12b79651259,2016-06-08T00:00:00.000,Isabel Garcia,FDP,Shaibal Roy,GLP,Abgeschlossen,,
"Ersatzneubau der Schulanlage Schauenberg, Verzicht auf eine zweite Kunstinstallation zu Gunsten von Investitionen in die Flächen für die Freizeit- und Sportbenutzung",Postulat,155fd10a81604807b0bbfb5bf4101405,2016-06-08T00:00:00.000,Markus Merki,GLP,Isabel Garcia,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Kulturförderung im Rahmen der Manifesta 11, arbeitsrechtliche Auflagen für 
unterstützte Veranstaltungen sowie Möglichkeiten zur gezielten Beteiligung der lokalen KMU und der Kultur- und Kreativwirtschaft",Schriftliche Anfrage,28f6c1bbc1234a84992619c0a0e80a62,2016-06-08T00:00:00.000,Ann-Catherine Nabholz,GLP,Markus Merki,GLP,Abgeschlossen,,
"Tram- und Bushaltestelle «Uetlihof», Gewährleistung eines hindernisfreien Zugangs auf der Westseite",Postulat,70cbb7f4edfd4b0cbf0687d45b83c070,2016-06-15T00:00:00.000,Barbara Wiesmann,SP,Guy Krayenbühl,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Fachstelle Lust und Frust, Erhöhung der finanziellen Mittel",Postulat,ac3f0c705a374cf8b4cff05802df6735,2016-06-15T00:00:00.000,Walter Angst,AL,Markus Merki,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Pilotprojekt «Gastrokurs mit Zertifikat», Öffnung auch für Asylsuchende im laufenden Verfahren",Postulat,0e563a985549435297c1515aedd694c6,2016-06-29T00:00:00.000,Alan David Sangines,SP,Shaibal Roy,GLP,Abgeschlossen,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Swissmill-Silo, bessere Gestaltung der Fassade unter Einbezug der Quartierbevölkerung und in Absprache mit der Eigentümerin",Postulat,62e3962fc9014c25bf9c464ae75eef76,2016-06-29T00:00:00.000,Guido Trevisan,GLP,Shaibal Roy,GLP,Abgeschlossen,Ablehnung,Ablehnung
Ganzer oder teilweiser Verzicht auf die Installation der Videokameras am Stauffacher,Postulat,0bf2edc53aec4c809cc69319276a631c,2016-06-29T00:00:00.000,Christina Schiller,AL,Guy Krayenbühl,GLP,Abgeschlossen,"Überweisung, Frist 24 Monate",Überweisung
"Bauliche Entwicklung im Quartier Lengg, Auswirkungen auf die Verkehrsentwicklung und die lokale Verträglichkeit sowie Planungsstand bezüglich eines Verkehrskonzepts und dem Einbezug der Schulen und der Quartierbevölkerung",Schriftliche Anfrage,44457a81bbe543749a10800684a2db4b,2016-06-29T00:00:00.000,Ann-Catherine Nabholz,GLP,Jean-Daniel Strub,SP,Abgeschlossen,,
Bessere Einbindung der Dolderbahn in das Angebot der VBZ und des ZVV,Postulat,10cbcf2b2626428a8805a150c6d4c33e,2016-07-06T00:00:00.000,Sven Sobernheim,GLP,Ann-Catherine Nabholz,GLP,Abgeschlossen,Ablehnung,Ablehnung
"Tibeterinnen und Tibeter in Zürich, Folgen des Entscheids des Staatssekretariats für Migration, Auswirkungen auf den geplanten Besuch des Dalai Lamas und mögliche versuchte Einflussnahme durch ausländische Behörden",Schriftliche Anfrage,bb7fe9aaa61e458397df3a651812e47e,2016-08-31T00:00:00.000,Markus Merki,GLP,Pascal Lamprecht,SP,Abgeschlossen,,
