Datum,Erfolgsquote_GLP,Erfolgsquote_FDP,Erfolgsquote_SP,Erfolgsquote_SVP
2014-12-31,0.8,0.625,0.84,0.6
2015-12-31,0.8181818181818182,0.7777777777777778,0.8,0.1875
2016-12-31,0.8,0.6470588235294118,0.868421052631579,0.36363636363636365
2017-12-31,0.9,0.6111111111111112,0.9666666666666667,0.25806451612903225
2018-12-31,0.8666666666666667,0.7741935483870968,0.9787234042553191,0.5833333333333334
2019-12-31,0.8571428571428571,0.75,0.9272727272727272,0.4375
2020-12-31,0.9230769230769231,0.7297297297297297,0.9354838709677419,0.4358974358974359
2021-12-31,0.8666666666666667,0.7352941176470589,0.9142857142857143,0.3793103448275862
2022-12-31,0.8055555555555556,0.7608695652173914,0.978021978021978,0.4
2023-12-31,0.8823529411764706,0.5,0.9615384615384616,0.27586206896551724
