Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
Rollstuhlgängige Erschliessung des Schanzengrabens,Postulat,5b2dbc8e0bf74329bcc4ef1610ab447e,2021-12-01T00:00:00.000,Urs Helfenstein,SP,Martina Zürcher,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Abbau von Parkplätzen, Ausmass des vollzogenen und des geplanten Abbaus von Plätzen mit permanenten Verkehrsvorschriften und Neubeurteilungen aufgrund von Einsprachen sowie Kompensierung und Kompensationspotenzial der abgebauten Parkplätze",Schriftliche Anfrage,385a3dfae3cb4cc885deb5b09637e7d9,2021-12-01T00:00:00.000,Stephan Iten,SVP,Dominique Zygmont,FDP,Abgeschlossen,,
"Format «Stadtluft», finanzielles Engagement für die Gründung und den operativen Betrieb sowie Hintergründe zum zeitlichen Engagement, zur Initiative, zu den beteiligten Städten und den geplanten Aktivitäten",Schriftliche Anfrage,a34d166b12384771851b8d833785bb3d,2021-12-01T00:00:00.000,Susanne Brunner,SVP,Elisabeth Schoch,FDP,Abgeschlossen,,
"Areal Thurgauerstrasse, frühere Realisierung der Alterswohnungen und des Gesundheitszentrums",Postulat,ed3f65a7e6524dbb8c0f723f289873cf,2021-12-01T00:00:00.000,Heidi Egger,SP,Christian Huser,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Areal Schlachthof, Entwicklung eines «Zurich Food Cluster» für Gewerbe, Produktion und Innovation im Lebensmittelbereich",Postulat,37995ad82da948e8b96d6a7fc86bc041,2021-12-01T00:00:00.000,Përparim Avdili,FDP,Flurin Capaul,FDP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Ausmusterung von mobilen Arbeitsgeräten, Verwendung der ausgemusterten lauffähigen und defekten Geräte, Abgabemöglichkeiten an Menschen in knappen finanziellen Verhältnissen oder an Kinder und Jugendliche und Aufwand für das Zurücksetzen der Geräte sowie Optionen für das Aufsetzen mit Betriebssystemen und Software",Schriftliche Anfrage,ae4a22b152d145fbacc5875ee4030296,2021-12-15T00:00:00.000,Matthias Renggli,SP,Patrik Brunner,FDP,Abgeschlossen,,
"Klimaschutzziel Netto-Null, Anfangspunkte für den Absenkplan und sich daraus ergebende einzuhaltende Werte, Bezifferung des Effekts der schwankenden Heizgradtage, Zuständigkeit für die Festlegung des Absenkplans und die erforderlichen Massnahmen sowie Möglichkeit zur Aufteilung der Vorlage in zwei separate Abstimmungsfragen",Schriftliche Anfrage,82bf1b4def95498ca064c93534deaa70,2021-12-15T00:00:00.000,Elisabeth Schoch,FDP,Walter Anken,SVP,Abgeschlossen,,
"Fussball-Europameisterschaft der Frauen 2025, Unterstützung der Bewerbung",Postulat,b9f655a4e34348c698237329efbf9829,2022-01-05T00:00:00.000,Isabel Garcia,FDP,Markus Merki,GLP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Realisierung eines Campus-Projekts auf dem Areal Triemli für digitale, medizinische Innovationen und den Transfer von Forschungsergebnissen in die klinische Praxis",Postulat,bffd96a9cbe440dfbbd03d49b2ea3815,2022-01-12T00:00:00.000,Elisabeth Schoch,FDP,Corina Ursprung,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Vergabe von Betriebsbeiträgen an Kulturinstitutionen, Verknüpfung mit einem klar definierten Leistungsauftrag",Postulat,dd101bb347ec47618f753302670933ef,2022-02-02T00:00:00.000,Simone Hofer Frei,GLP,Isabel Garcia,FDP,Abgeschlossen,Ablehnung,Ablehnung
Einführung einer erweiterten Gewerbeparkkarte für in Zürich tätige Handwerks- und Servicebetriebe,Motion,25914a275b564f53bb6180f9a5001baa,2022-02-02T00:00:00.000,Andreas Egli,FDP,Stephan Iten,SVP,InBearbeitung,"Überweisung mit Textänderung, Frist 24 Monate",Überweisung
"Konsequenzen der Rechtskraft der Beschwerde gegen die wirtschaftliche Basishilfe betreffend die eingegangenen Verträge und die ausbezahlten Beträge sowie generelle Haltung zu Pilotprojekten, die möglicherweise gegen übergeordnetes Recht verstossen",Schriftliche Anfrage,905ccca26be74b7bbafc5fa064b5b8ed,2022-02-09T00:00:00.000,Alexander Brunner,FDP,,,Abgeschlossen,,
"Vergabe der Mietobjekte in der Wohnsiedlung Hornbach, Zahlen und Hintergründe zu den Bewerbungen, den Vergaben ohne Ausschreibungen, den Zuschlagskriterien und der sich daraus ergebenden Zusammensetzung der Mieterschaft sowie Haltung zur Subjektfinanzierung hinsichtlich der Zielerreichung der städtischen Wohnbauförderung",Schriftliche Anfrage,d096711d970749bf9a6a3409960ee3e7,2022-02-09T00:00:00.000,Përparim Avdili,FDP,Sabine Koch,FDP,Abgeschlossen,,
